product_name,price_tag,currency (IDR),link_product
Yeezy Boost 350 V2 Carbon,1200000,IDR,https://www.kickavenue.com/sneakers/yeezy/yeezy-boost-350-v2-carbon-fz5000-ka/12633?from=search
Nike Dunk Low Cacao Wow (Women's),1200000,IDR,https://www.kickavenue.com/sneakers/nike/nike-dunk-low-cacao-wow-w-dd1503-124-ka/63283?from=search
Adidas Samba XLG Black White Gum,1200000,IDR,https://www.kickavenue.com/sneakers/adidas/adidas-samba-xlg-black-white-gum-ie1379-ka/108705?from=search
Air Jordan 1 Low Bulls,1200000,IDR,https://www.kickavenue.com/sneakers/air-jordan/jordan-1-low-bulls-553558-163-ka-2/31996?from=search
Nike Air Force 1 '07 LV8 Coconut Milk Red,1200000,IDR,https://www.kickavenue.com/sneakers/nike/nike-air-force-1-07-lv8-coconut-milk-red-hq3612-113-ka/113806?from=search
Nike Air Max Plus Phantom Cargo Khaki,1210000,IDR,https://www.kickavenue.com/sneakers/nike/nike-air-max-plus-phantom-cargo-khaki-fb9722-001-ka/76859?from=search
Nike P-6000 Black Anthracite,1220000,IDR,https://www.kickavenue.com/sneakers/nike/nike-p-6000-black-anthracite-fq8732-010-ka/74853?from=search
Vans Knu Skool Black True White (Pre-School),1230000,IDR,https://www.kickavenue.com/sneakers/vans/vans-knu-skool-black-true-white-ps-vn000cyu6bt-ka/108680?from=search
ASICS Gel Kahana 8 Graphite Grey Sheet Rock,1240000,IDR,https://www.kickavenue.com/sneakers/asics/asics-gel-kahana-8-graphite-grey-sheet-rock-1011b387-021-ka-2/100267?from=search
Nike SB Dunk Low Sandy Bodecker,1250000,IDR,https://www.kickavenue.com/sneakers/nike/nike-sb-dunk-low-sandy-bodecker-fd8777100/41573?from=search
Nike Dunk Low Night Maroon,1250000,IDR,https://www.kickavenue.com/sneakers/nike/nike-dunk-low-night-maroon-dv0831-102-ka/56724?from=search
Nike Air Force 1 Low Year Of The Dragon Platinum Violet (Women's),1250000,IDR,https://www.kickavenue.com/sneakers/nike/nike-air-force-1-low-year-of-the-dragon-platinum-violet-w-fz5066-111-ka/78239?from=search
Adidas Predator 24 League Low Freestyle Core Black,1250000,IDR,https://www.kickavenue.com/sneakers/adidas/adidas-predator-24-league-low-freestyle-core-black-if1025-ka/103403?from=search
Nike Dunk Low Valerian Blue,1250000,IDR,https://www.kickavenue.com/sneakers/nike/nike-dunk-low-valerian-blue-dd1391-400-ka/32157?from=search
Adidas Gazelle Indoor Sand Strata Legend Ivy Gum,1260000,IDR,https://www.kickavenue.com/sneakers/adidas/adidas-gazelle-indoor-sand-strata-legend-ivy-gum-ji2584-ka/112210?from=search
Crocs Classic Clog Patrick Star,1260000,IDR,https://www.kickavenue.com/sneakers/crocs/crocs-classic-clog-patrick-star-209479-737-ka/105376?from=search
Nike P-6000 Platinum Tint Black,1270000,IDR,https://www.kickavenue.com/sneakers/nike/nike-p-6000-platinum-tint-black-hj3488-001-ka/104878?from=search
Nike Vomero 5 Sail Light Orewood Brown (Women's),1270000,IDR,https://www.kickavenue.com/sneakers/nike/nike-vomero-5-sail-light-orewood-brown-w-fq6868-111-ka/73668?from=search
Nike Dunk Low Next Nature Summit White Baroque Brown,1280000,IDR,https://www.kickavenue.com/sneakers/nike/nike-dunk-low-next-nature-summit-white-baroque-brown-hf4292-100-ka/107950?from=search
Nike P-6000 Flat Pewter,1280000,IDR,https://www.kickavenue.com/sneakers/nike/nike-p-6000-flat-pewter-fn7509-029-ka/72889?from=search
Nike Dunk Low University Red St John,1290000,IDR,https://www.kickavenue.com/sneakers/nike/nike-dunk-low-university-red-st-john-cu1727-100-ka/8705?from=search
Nike Air Force 1 Low Color Of The Month Jewel Black,1290000,IDR,https://www.kickavenue.com/sneakers/nike/nike-air-force-1-low-color-of-the-month-jewel-black-fn5924-001-ka/77796?from=search
Air Jordan 1 Retro High OG Black White,1300000,IDR,https://www.kickavenue.com/sneakers/air-jordan/air-jordan-1-retro-high-og-black-white-dz5485-010-ka/78849?from=search
Air Jordan 1 Low Panda (2023) (Women's),1300000,IDR,https://www.kickavenue.com/sneakers/air-jordan/jordan-1-low-panda-2023-w-dc0774-101-ka/58424?from=search
Onitsuka Tiger Mexico 66 White Dusty Pink,1300000,IDR,https://www.kickavenue.com/sneakers/onitsuka-tiger/onitsuka-tiger-mexico-66-white-dusty-pink-1183b781-104-ka/108279?from=search
Puma Suede XL Ocean Tropic,1300000,IDR,https://www.kickavenue.com/sneakers/puma/puma-suede-xl-ocean-tropic-395205-06-ka/112117?from=search
Nike Dunk Low Next Nature Bicoastal (Women's),1300000,IDR,https://www.kickavenue.com/sneakers/nike/nike-dunk-low-next-nature-bicoastal-w-dd1873-107-ka/96718?from=search
Air Jordan 1 Mid Black White Gym Red,1300000,IDR,https://www.kickavenue.com/sneakers/air-jordan/air-jordan-1-mid-black-white-gym-red-dq8426-061-ka/109633?from=search
Puma Suede XL Black White,1300000,IDR,https://www.kickavenue.com/sneakers/puma/puma-suede-xl-black-white-395205-02-ka/108550?from=search
